dataset,metric,value,column,n_rows,missing_n,blank_n,missing_or_blank_rate
drug_role_v2_2004q1,n_rows,13601.0,,,,,
drug_role_v2_2004q1,unique_caseid,13601.0,,,,,
drug_role_v2_2004q1,duplicate_caseid_rows,0.0,,,,,
drug_role_v2_2004q1,,,caseid,13601.0,0.0,0.0,0.0
drug_role_v2_2004q1,,,ps_drug_n,13601.0,0.0,0.0,0.0
drug_role_v2_2004q1,,,ss_drug_n,13601.0,0.0,0.0,0.0
drug_role_v2_2004q1,,,concomitant_drug_n,13601.0,0.0,0.0,0.0
drug_role_v2_2004q1,,,interacting_drug_n,13601.0,0.0,0.0,0.0
drug_role_v2_2004q1,,,has_ps_drug,13601.0,0.0,0.0,0.0
drug_role_v2_2004q1,,,has_ss_drug,13601.0,0.0,0.0,0.0
drug_role_v2_2004q1,,,zolpidem_as_ps,13601.0,0.0,0.0,0.0
drug_role_v2_2004q1,,,zolpidem_as_suspect,13601.0,0.0,0.0,0.0
drug_role_v2_2004q1,,,other_zdrug_as_suspect,13601.0,0.0,0.0,0.0
drug_role_v2_2004q2,n_rows,12127.0,,,,,
drug_role_v2_2004q2,unique_caseid,12127.0,,,,,
drug_role_v2_2004q2,duplicate_caseid_rows,0.0,,,,,
drug_role_v2_2004q2,,,caseid,12127.0,0.0,0.0,0.0
drug_role_v2_2004q2,,,ps_drug_n,12127.0,0.0,0.0,0.0
drug_role_v2_2004q2,,,ss_drug_n,12127.0,0.0,0.0,0.0
drug_role_v2_2004q2,,,concomitant_drug_n,12127.0,0.0,0.0,0.0
drug_role_v2_2004q2,,,interacting_drug_n,12127.0,0.0,0.0,0.0
drug_role_v2_2004q2,,,has_ps_drug,12127.0,0.0,0.0,0.0
drug_role_v2_2004q2,,,has_ss_drug,12127.0,0.0,0.0,0.0
drug_role_v2_2004q2,,,zolpidem_as_ps,12127.0,0.0,0.0,0.0
drug_role_v2_2004q2,,,zolpidem_as_suspect,12127.0,0.0,0.0,0.0
drug_role_v2_2004q2,,,other_zdrug_as_suspect,12127.0,0.0,0.0,0.0
drug_role_v2_2004q3,n_rows,17457.0,,,,,
drug_role_v2_2004q3,unique_caseid,17457.0,,,,,
drug_role_v2_2004q3,duplicate_caseid_rows,0.0,,,,,
drug_role_v2_2004q3,,,caseid,17457.0,0.0,0.0,0.0
drug_role_v2_2004q3,,,ps_drug_n,17457.0,0.0,0.0,0.0
drug_role_v2_2004q3,,,ss_drug_n,17457.0,0.0,0.0,0.0
drug_role_v2_2004q3,,,concomitant_drug_n,17457.0,0.0,0.0,0.0
drug_role_v2_2004q3,,,interacting_drug_n,17457.0,0.0,0.0,0.0
drug_role_v2_2004q3,,,has_ps_drug,17457.0,0.0,0.0,0.0
drug_role_v2_2004q3,,,has_ss_drug,17457.0,0.0,0.0,0.0
drug_role_v2_2004q3,,,zolpidem_as_ps,17457.0,0.0,0.0,0.0
drug_role_v2_2004q3,,,zolpidem_as_suspect,17457.0,0.0,0.0,0.0
drug_role_v2_2004q3,,,other_zdrug_as_suspect,17457.0,0.0,0.0,0.0
drug_role_v2_2004q4,n_rows,14102.0,,,,,
drug_role_v2_2004q4,unique_caseid,14102.0,,,,,
drug_role_v2_2004q4,duplicate_caseid_rows,0.0,,,,,
drug_role_v2_2004q4,,,caseid,14102.0,0.0,0.0,0.0
drug_role_v2_2004q4,,,ps_drug_n,14102.0,0.0,0.0,0.0
drug_role_v2_2004q4,,,ss_drug_n,14102.0,0.0,0.0,0.0
drug_role_v2_2004q4,,,concomitant_drug_n,14102.0,0.0,0.0,0.0
drug_role_v2_2004q4,,,interacting_drug_n,14102.0,0.0,0.0,0.0
drug_role_v2_2004q4,,,has_ps_drug,14102.0,0.0,0.0,0.0
drug_role_v2_2004q4,,,has_ss_drug,14102.0,0.0,0.0,0.0
drug_role_v2_2004q4,,,zolpidem_as_ps,14102.0,0.0,0.0,0.0
drug_role_v2_2004q4,,,zolpidem_as_suspect,14102.0,0.0,0.0,0.0
drug_role_v2_2004q4,,,other_zdrug_as_suspect,14102.0,0.0,0.0,0.0
drug_role_v2_2005q1,n_rows,14086.0,,,,,
drug_role_v2_2005q1,unique_caseid,14086.0,,,,,
drug_role_v2_2005q1,duplicate_caseid_rows,0.0,,,,,
drug_role_v2_2005q1,,,caseid,14086.0,0.0,0.0,0.0
drug_role_v2_2005q1,,,ps_drug_n,14086.0,0.0,0.0,0.0
drug_role_v2_2005q1,,,ss_drug_n,14086.0,0.0,0.0,0.0
drug_role_v2_2005q1,,,concomitant_drug_n,14086.0,0.0,0.0,0.0
drug_role_v2_2005q1,,,interacting_drug_n,14086.0,0.0,0.0,0.0
drug_role_v2_2005q1,,,has_ps_drug,14086.0,0.0,0.0,0.0
drug_role_v2_2005q1,,,has_ss_drug,14086.0,0.0,0.0,0.0
drug_role_v2_2005q1,,,zolpidem_as_ps,14086.0,0.0,0.0,0.0
drug_role_v2_2005q1,,,zolpidem_as_suspect,14086.0,0.0,0.0,0.0
drug_role_v2_2005q1,,,other_zdrug_as_suspect,14086.0,0.0,0.0,0.0
drug_role_v2_2005q2,n_rows,15661.0,,,,,
drug_role_v2_2005q2,unique_caseid,15661.0,,,,,
drug_role_v2_2005q2,duplicate_caseid_rows,0.0,,,,,
drug_role_v2_2005q2,,,caseid,15661.0,0.0,0.0,0.0
drug_role_v2_2005q2,,,ps_drug_n,15661.0,0.0,0.0,0.0
drug_role_v2_2005q2,,,ss_drug_n,15661.0,0.0,0.0,0.0
drug_role_v2_2005q2,,,concomitant_drug_n,15661.0,0.0,0.0,0.0
