,FALL,CONFUSIONAL STATE,NAUSEA,DIZZINESS,PAIN,ANXIETY,MALAISE,DYSARTHRIA,HEADACHE,MOTOR DYSFUNCTION,MUSCULAR WEAKNESS,HYPOTENSION,FATIGUE,VOMITING,PYREXIA,GASTROINTESTINAL DISORDER,AFFECT LABILITY,PNEUMONIA,COORDINATION ABNORMAL,SYNCOPE,APHASIA,CEREBROVASCULAR ACCIDENT,DYSPHAGIA,EATING DISORDER,CYSTITIS,NASOPHARYNGITIS,MUSCLE SPASTICITY,PSORIASIS,SKIN EXFOLIATION,SNEEZING,ADJUSTMENT DISORDER,CAROTID ARTERY THROMBOSIS,HEMIPARESIS,HEMIPLEGIA,HYPONATRAEMIA,INFLUENZA,INFLUENZA LIKE ILLNESS,NEUROLOGIC NEGLECT SYNDROME,PALPITATIONS,PERSONALITY DISORDER,RESPIRATORY TRACT CONGESTION,RHINORRHOEA,SENSORY LOSS,SINUS CONGESTION,SINUS DISORDER,SKIN HAEMORRHAGE,BLOOD PRESSURE INCREASED,HEAD INJURY,COUGH,DRUG INTERACTION
APHASIA,0.0728667305848514,0.3333333333333333,0.5454545454545454,0.0,0.6,0.6186440677966102,0.6428571428571429,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7171717171717171,0.0,0.782608695652174,0.8,0.8295454545454546,0.7021276595744681,0.8372093023255814,0.8470588235294118,0.8780487804878049,0.0,0.0,0.9113924050632911,0.9113924050632911,0.9113924050632911,0.9230769230769231,0.9230769230769231,0.935064935064935,0.935064935064935,0.935064935064935,0.935064935064935,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.8048780487804879,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.8148148148148148,0.0,0.825,0.0
CEREBROVASCULAR ACCIDENT,0.07190795781399809,0.3348623853211009,0.549618320610687,0.0,0.6050420168067226,0.6101694915254238,0.6636363636363637,0.7708333333333334,0.7525773195876289,0.7346938775510204,0.7244897959183674,0.0,0.8314606741573034,0.8089887640449438,0.8181818181818182,0.7096774193548387,0.8470588235294118,0.8571428571428571,0.9125,0.0,0.9113924050632911,0.0,0.948051948051948,0.948051948051948,0.9605263157894737,0.9605263157894737,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.96,0.96,0.96,0.96,0.0,0.96,0.96,0.96,0.8148148148148148,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.825,0.0,0.8589743589743589,0.0
DYSPHAGIA,0.07190795781399809,0.3348623853211009,0.5615384615384615,0.0,0.6050420168067226,0.6101694915254238,0.6636363636363637,0.7525773195876289,0.7346938775510204,0.7346938775510204,0.7244897959183674,0.0,0.8111111111111111,0.8295454545454546,0.8181818181818182,0.7096774193548387,0.8470588235294118,0.8571428571428571,0.9125,0.0,0.9113924050632911,0.948051948051948,0.0,0.948051948051948,0.9605263157894737,0.935064935064935,0.9733333333333334,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.96,0.96,0.96,0.96,0.0,0.96,0.96,0.96,0.8148148148148148,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.825,0.0,0.8589743589743589,0.0
EATING DISORDER,0.07190795781399809,0.34101382488479265,0.549618320610687,0.0,0.6050420168067226,0.6101694915254238,0.6486486486486487,0.7525773195876289,0.7346938775510204,0.7346938775510204,0.7244897959183674,0.0,0.8111111111111111,0.8089887640449438,0.8181818181818182,0.7096774193548387,0.8470588235294118,0.8571428571428571,0.9125,0.0,0.9113924050632911,0.948051948051948,0.948051948051948,0.0,0.9605263157894737,0.935064935064935,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.96,0.96,0.96,0.96,0.0,0.96,0.96,0.96,0.8148148148148148,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.825,0.0,0.8589743589743589,0.0
CYSTITIS,0.07094918504314478,0.33640552995391704,0.5538461538461539,0.0,0.6101694915254238,0.6153846153846154,0.6545454545454545,0.7604166666666666,0.7422680412371134,0.7422680412371134,0.7319587628865979,0.0,0.8202247191011236,0.8181818181818182,0.8275862068965517,0.717391304347826,0.8571428571428571,0.8674698795180723,0.9240506329113924,0.0,0.9230769230769231,0.9605263157894737,0.9605263157894737,0.9605263157894737,0.0,0.9473684210526315,0.96,0.96,0.96,0.96,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.0,0.972972972972973,0.972972972972973,0.972972972972973,0.825,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.8354430379746836,0.0,0.8701298701298701,0.0
NASOPHARYNGITIS,0.07094918504314478,0.3302752293577982,0.5538461538461539,0.0,0.6101694915254238,0.6153846153846154,0.6697247706422018,0.7604166666666666,0.7604166666666666,0.7422680412371134,0.7319587628865979,0.0,0.8202247191011236,0.8181818181818182,0.8488372093023255,0.717391304347826,0.8571428571428571,0.8674698795180723,0.9,0.0,0.9230769230769231,0.9605263157894737,0.935064935064935,0.935064935064935,0.9473684210526315,0.0,0.96,0.96,0.96,0.96,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.0,0.972972972972973,0.972972972972973,0.972972972972973,0.825,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.8354430379746836,0.0,0.8461538461538461,0.0
MUSCLE SPASTICITY,0.06999041227229147,0.3317972350230415,0.5581395348837209,0.0,0.6153846153846154,0.6206896551724138,0.6759259259259259,0.75,0.75,0.75,0.7395833333333334,0.0,0.8089887640449438,0.8275862068965517,0.8372093023255814,0.7252747252747253,0.8674698795180723,0.8780487804878049,0.9113924050632911,0.0,0.935064935064935,0.9473684210526315,0.9733333333333334,0.9473684210526315,0.96,0.96,0.0,0.972972972972973,0.972972972972973,0.972972972972973,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.0,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.8354430379746836,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.8461538461538461,0.0,0.8571428571428571,0.0
PSORIASIS,0.06999041227229147,0.3317972350230415,0.5581395348837209,0.0,0.6153846153846154,0.6206896551724138,0.6605504587155964,0.75,0.75,0.75,0.7395833333333334,0.0,0.8089887640449438,0.8275862068965517,0.8372093023255814,0.7252747252747253,0.8674698795180723,0.8780487804878049,0.9113924050632911,0.0,0.935064935064935,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.96,0.96,0.972972972972973,0.0,0.972972972972973,0.972972972972973,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.0,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.8354430379746836,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.8461538461538461,0.0,0.8571428571428571,0.0
SKIN EXFOLIATION,0.06999041227229147,0.3317972350230415,0.5581395348837209,0.0,0.6153846153846154,0.6206896551724138,0.6605504587155964,0.75,0.75,0.75,0.7395833333333334,0.0,0.8089887640449438,0.8275862068965517,0.8372093023255814,0.7252747252747253,0.8674698795180723,0.8780487804878049,0.9113924050632911,0.0,0.935064935064935,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.96,0.96,0.972972972972973,0.972972972972973,0.0,0.972972972972973,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.0,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.8354430379746836,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.8461538461538461,0.0,0.8571428571428571,0.0
SNEEZING,0.06999041227229147,0.3317972350230415,0.5581395348837209,0.0,0.6153846153846154,0.6347826086956522,0.6605504587155964,0.75,0.75,0.75,0.7395833333333334,0.0,0.8295454545454546,0.8275862068965517,0.8372093023255814,0.7252747252747253,0.8674698795180723,0.8780487804878049,0.9113924050632911,0.0,0.935064935064935,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.96,0.96,0.972972972972973,0.972972972972973,0.972972972972973,0.0,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.0,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.8589743589743589,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.8461538461538461,0.0,0.881578947368421,0.0
ADJUSTMENT DISORDER,0.06903163950143816,0.3333333333333333,0.5625,0.0,0.6206896551724138,0.6260869565217392,0.6666666666666666,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7473684210526316,0.0,0.8181818181818182,0.8372093023255814,0.8470588235294118,0.7333333333333333,0.8780487804878049,0.8888888888888888,0.9230769230769231,0.0,0.9473684210526315,0.96,0.96,0.96,0.972972972972973,0.972972972972973,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8461538461538461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.0,0.868421052631579,0.0
CAROTID ARTERY THROMBOSIS,0.06903163950143816,0.3333333333333333,0.5625,0.0,0.6206896551724138,0.6260869565217392,0.6666666666666666,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7473684210526316,0.0,0.8181818181818182,0.8372093023255814,0.8470588235294118,0.7333333333333333,0.8780487804878049,0.8888888888888888,0.9230769230769231,0.0,0.9473684210526315,0.96,0.96,0.96,0.972972972972973,0.972972972972973,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8461538461538461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.0,0.868421052631579,0.0
HEMIPARESIS,0.06903163950143816,0.3333333333333333,0.5625,0.0,0.6206896551724138,0.6260869565217392,0.6666666666666666,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7473684210526316,0.0,0.8181818181818182,0.8372093023255814,0.8470588235294118,0.7333333333333333,0.8780487804878049,0.8888888888888888,0.9230769230769231,0.0,0.9473684210526315,0.96,0.96,0.96,0.972972972972973,0.972972972972973,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.8461538461538461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.0,0.868421052631579,0.0
